10559,2,15,56.2951,1,33,21,32.313,5.25,11.13,0,0,-0.004
10602,2,16,30.5003,0,51,30,43.601,3.56,21.06,0,0,-0.12
10826,2,19,20.7866,0,2,58,37.418,6.47,7.79,0,0,0.966
11001,2,21,45.023,0,68,39,33.926,4.08,24.1,0,0,0.034
11345,2,25,57.0123,0,12,17,25.627,4.88,6.17,0,0,-0.027
11407,2,26,59.105,0,47,42,13.777,4.24,6.17,0,0,-0.136
11484,2,28,9.5179,1,8,27,36.319,4.3,18.53,0,0,-0.053
11767,2,31,47.0753,1,89,15,50.897,1.97,7.56,0,0,0.636
11783,2,32,5.2772,0,15,14,39.552,4.74,38.73,0,0,0.454
12093,2,35,52.489,1,5,35,35.886,4.87,8.77,0,0,0.88
12387,2,39,28.9483,1,0,19,42.66,4.08,5.04,0,0,-0.212
12390,2,39,33.7317,0,11,52,17.694,4.83,36.99,0,0,0.447
12394,2,39,35.2237,0,68,16,1.011,4.12,21.27,0,0,-0.061
12413,2,39,47.9193,0,42,53,29.88,4.74,25.15,0,0,0.061
12484,2,40,39.5799,0,54,32,59.727,5.21,20.49,0,0,0.411
12486,2,40,39.9317,0,39,51,19.113,4.11,22.42,0,0,1.006
12706,2,43,18.1246,1,3,14,10.218,3.47,39.78,0,0,0.093
12770,2,44,7.3545,0,13,51,31.233,4.24,7.4,0,0,-0.122
12828,2,44,56.3734,1,10,6,51.191,4.27,38.71,0,0,0.311
12843,2,45,5.9815,0,18,34,21.543,4.47,71.56,0,0,0.481
13147,2,49,5.3595,0,32,24,22.623,4.45,19.31,0,0,0.981
13209,2,49,58.9894,1,27,15,38.846,3.61,20.45,0,0,-0.1
13254,2,50,34.9142,1,38,19,8.07,4.22,25.54,0,0,0.343
13268,2,50,41.7928,1,55,53,43.906,3.77,2.45,0,0,1.69
13701,2,56,25.6038,0,8,53,51.395,3.89,24.49,0,0,1.088
13847,2,58,15.7156,0,40,18,17.046,2.88,20.22,0,0,0.128
13954,2,59,42.8963,1,8,54,26.644,4.71,7.69,0,0,-0.109
14135,3,2,16.7791,1,4,5,23.731,2.54,14.82,0,0,1.63
14146,3,2,23.5931,0,23,37,27.61,4.08,37.85,0,0,0.163
14240,3,3,36.9037,0,59,44,15.432,5.12,23.67,0,0,0.349
14328,3,4,47.7902,1,53,30,23.221,2.91,12.72,0,0,0.716
14354,3,5,10.497,1,38,50,25.919,3.32,10.03,0,0,1.528
14576,3,8,10.1297,1,40,57,20.344,2.09,35.14,0,0,-0.003
14879,3,12,4.28,0,28,59,20.782,3.8,70.86,0,0,0.543
15197,3,15,50.0268,0,8,49,11.426,4.8,27.18,0,0,0.232
15474,3,19,30.9697,0,21,45,28.592,3.7,12.63,0,0,1.614
15510,3,19,53.2248,0,43,4,17.577,4.26,165.02,0,0,0.711
15863,3,24,19.3485,1,49,51,40.474,1.79,5.51,0,0,0.481
15900,3,24,48.8376,1,9,1,44.634,3.61,15.42,0,0,0.887
16228,3,29,4.1344,1,59,56,25.205,4.21,0.76,0,0,0.419
